元シート,列車番号,駅順,駅名,発車,到着,方向,区間,発車_判定用,到着_判定用,発着チェック
全ダイヤ,,46,〇【下】ﾆｼ～ｷｶｽ,＝,－,,全ダイヤ,＝,－,終着
全ダイヤ,,47,〇【下】ﾂｶ～ｷｶｽ,＝,越谷,,全ダイヤ,＝,越谷,終着
全ダイヤ,,48,〇 【下】ｶｽ～ｷｶｽ,＝,春日部,,全ダイヤ,＝,春日部,終着
全ダイヤ,,49,〇【下】ｷｶｽ～ﾄﾌﾞｺ,＝,＝,,全ダイヤ,＝,＝,異常
全ダイヤ,,50,〇【下】ST　ｷｾ～ﾂｶ,鐘ヶ淵,＝,,全ダイヤ,鐘ヶ淵,＝,始発
全ダイヤ,,51,〇【下】STｷｾ～ｿｶ,鐘ヶ淵,＝,,全ダイヤ,鐘ヶ淵,＝,始発
全ダイヤ,,52,〇【下】STｷｾ～ｷｺﾔ,鐘ヶ淵,＝,,全ダイヤ,鐘ヶ淵,＝,始発
全ダイヤ,,53,〇【下】ｷｾ～ｷｶｽ,＝,＝,,全ダイヤ,＝,＝,異常
全ダイヤ,,54,〇【下】ｷｾ～ﾄﾌﾞｺ,＝,＝,,全ダイヤ,＝,＝,異常
全ダイヤ,,55,〇【下】TS　ｷｾ～ｸｷ,鐘ヶ淵,＝,,全ダイヤ,鐘ヶ淵,＝,始発
全ダイヤ,,56,〇【下】ST　ｷｾ～ﾐｸﾘ,＝,鐘ヶ淵,,全ダイヤ,＝,鐘ヶ淵,終着
〇【上】ST　ｷｾ～ﾂｶ,950,5,北千住,＝,23.50.20,上り,〇【上】ST　ｷｾ～ﾂｶ,＝,23.50.20,終着
〇【上】ST　ｷｾ～ﾂｶ,950,6,小菅,48.30,48   ,上り,〇【上】ST　ｷｾ～ﾂｶ,48.30,48,途中
〇【上】ST　ｷｾ～ﾂｶ,950,7,五反野,46.40,46.10,上り,〇【上】ST　ｷｾ～ﾂｶ,46.40,46.10,途中
〇【上】ST　ｷｾ～ﾂｶ,950,8,梅島,44.50,44.20,上り,〇【上】ST　ｷｾ～ﾂｶ,44.50,44.20,途中
〇【上】ST　ｷｾ～ﾂｶ,950,9,西新井,42.50,41.50,上り,〇【上】ST　ｷｾ～ﾂｶ,42.50,41.50,途中
〇【上】ST　ｷｾ～ﾂｶ,950,10,竹ノ塚,23.39.40,,上り,〇【上】ST　ｷｾ～ﾂｶ,23.39.40,,始発
〇【上】ST　ｷｾ～ﾂｶ,A1512S,2,鐘ヶ淵,(中目黒),,上り,〇【上】ST　ｷｾ～ﾂｶ,(中目黒),,始発
〇【上】ST　ｷｾ～ﾂｶ,A1512S,3,堀切,＝,,上り,〇【上】ST　ｷｾ～ﾂｶ,＝,,異常
〇【上】ST　ｷｾ～ﾂｶ,A1512S,4,牛田,||,,上り,〇【上】ST　ｷｾ～ﾂｶ,||,,始発
〇【上】ST　ｷｾ～ﾂｶ,A1512S,5,北千住,15.44.30,41.20,上り,〇【上】ST　ｷｾ～ﾂｶ,15.44.30,41.20,途中
〇【上】ST　ｷｾ～ﾂｶ,A1512S,6,小菅,39.20,38.50,上り,〇【上】ST　ｷｾ～ﾂｶ,39.20,38.50,途中
〇【上】ST　ｷｾ～ﾂｶ,A1512S,7,五反野,37.30,37   ,上り,〇【上】ST　ｷｾ～ﾂｶ,37.30,37,途中
〇【上】ST　ｷｾ～ﾂｶ,A1512S,8,梅島,35.40,35.10,上り,〇【上】ST　ｷｾ～ﾂｶ,35.40,35.10,途中
〇【上】ST　ｷｾ～ﾂｶ,A1512S,9,西新井,33.40,32.40,上り,〇【上】ST　ｷｾ～ﾂｶ,33.40,32.40,途中
〇【上】ST　ｷｾ～ﾂｶ,A1512S,10,竹ノ塚,15.30.30,,上り,〇【上】ST　ｷｾ～ﾂｶ,15.30.30,,始発
〇【上】ST　ｷｾ～ﾂｶ,A1534S,2,鐘ヶ淵,,(中目黒),上り,〇【上】ST　ｷｾ～ﾂｶ,,(中目黒),終着
〇【上】ST　ｷｾ～ﾂｶ,A1534S,3,堀切,,＝,上り,〇【上】ST　ｷｾ～ﾂｶ,,＝,異常
〇【上】ST　ｷｾ～ﾂｶ,A1534S,4,牛田,,||,上り,〇【上】ST　ｷｾ～ﾂｶ,,||,終着
〇【上】ST　ｷｾ～ﾂｶ,A1534S,5,北千住,30.30,15.31.55,上り,〇【上】ST　ｷｾ～ﾂｶ,30.30,15.31.55,途中
〇【上】ST　ｷｾ～ﾂｶ,A1534S,6,小菅,28   ,28.30,上り,〇【上】ST　ｷｾ～ﾂｶ,28,28.30,途中
〇【上】ST　ｷｾ～ﾂｶ,A1534S,7,五反野,26.10,26.40,上り,〇【上】ST　ｷｾ～ﾂｶ,26.10,26.40,途中
〇【上】ST　ｷｾ～ﾂｶ,A1534S,8,梅島,24.20,24.50,上り,〇【上】ST　ｷｾ～ﾂｶ,24.20,24.50,途中
〇【上】ST　ｷｾ～ﾂｶ,A1534S,9,西新井,22   ,22.50,上り,〇【上】ST　ｷｾ～ﾂｶ,22,22.50,途中
〇【上】ST　ｷｾ～ﾂｶ,A1534S,10,竹ノ塚,,15.19.50,上り,〇【上】ST　ｷｾ～ﾂｶ,,15.19.50,終着
〇【上】ST　ｷｾ～ﾂｶ,A1620S,2,鐘ヶ淵,,(中目黒),上り,〇【上】ST　ｷｾ～ﾂｶ,,(中目黒),終着
〇【上】ST　ｷｾ～ﾂｶ,A1620S,3,堀切,,＝,上り,〇【上】ST　ｷｾ～ﾂｶ,,＝,異常
〇【上】ST　ｷｾ～ﾂｶ,A1620S,4,牛田,,||,上り,〇【上】ST　ｷｾ～ﾂｶ,,||,終着
〇【上】ST　ｷｾ～ﾂｶ,A1620S,5,北千住,22   ,16.24.20,上り,〇【上】ST　ｷｾ～ﾂｶ,22,16.24.20,途中
〇【上】ST　ｷｾ～ﾂｶ,A1620S,6,小菅,19.30,20   ,上り,〇【上】ST　ｷｾ～ﾂｶ,19.30,20,途中
〇【上】ST　ｷｾ～ﾂｶ,A1620S,7,五反野,17.40,18.10,上り,〇【上】ST　ｷｾ～ﾂｶ,17.40,18.10,途中
〇【上】ST　ｷｾ～ﾂｶ,A1620S,8,梅島,15.50,16.20,上り,〇【上】ST　ｷｾ～ﾂｶ,15.50,16.20,途中
〇【上】ST　ｷｾ～ﾂｶ,A1620S,9,西新井,13   ,14.20,上り,〇【上】ST　ｷｾ～ﾂｶ,13,14.20,途中
〇【上】ST　ｷｾ～ﾂｶ,A1620S,10,竹ノ塚,,16.10.50,上り,〇【上】ST　ｷｾ～ﾂｶ,,16.10.50,終着
〇【上】ST　ｷｾ～ﾂｶ,A1623T,2,鐘ヶ淵,,(中目黒),上り,〇【上】ST　ｷｾ～ﾂｶ,,(中目黒),終着
〇【上】ST　ｷｾ～ﾂｶ,A1623T,3,堀切,,＝,上り,〇【上】ST　ｷｾ～ﾂｶ,,＝,異常
〇【上】ST　ｷｾ～ﾂｶ,A1623T,4,牛田,,||,上り,〇【上】ST　ｷｾ～ﾂｶ,,||,終着
〇【上】ST　ｷｾ～ﾂｶ,A1623T,5,北千住,48   ,16.49.15,上り,〇【上】ST　ｷｾ～ﾂｶ,48,16.49.15,途中
〇【上】ST　ｷｾ～ﾂｶ,A1623T,6,小菅,45.30,46   ,上り,〇【上】ST　ｷｾ～ﾂｶ,45.30,46,途中
〇【上】ST　ｷｾ～ﾂｶ,A1623T,7,五反野,43.40,44.10,上り,〇【上】ST　ｷｾ～ﾂｶ,43.40,44.10,途中
〇【上】ST　ｷｾ～ﾂｶ,A1623T,8,梅島,41.50,42.20,上り,〇【上】ST　ｷｾ～ﾂｶ,41.50,42.20,途中
〇【上】ST　ｷｾ～ﾂｶ,A1623T,9,西新井,38.20,40.20,上り,〇【上】ST　ｷｾ～ﾂｶ,38.20,40.20,途中
